No,Country,Year,Rank,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Global Terrorism Index,Total Unemployment Rate,Education Index,Life Expectancy at Birth,Environmental Performance Index,Prison Population,Total
150,Estonia,2015,146th,3.10,5.50,6.50,3.60,3.70,3.50,3.20,3.40,2.00,3.30,2.90,3.10,0.01,1.06,0.44,5.76,5.53,0.58,Stable
151,Malta,2015,151st,3.40,2.00,3.90,4.20,2.90,4.00,3.90,2.30,3.30,2.80,4.60,3.60,0.00,1.18,0.49,8.17,5.59,0.51,Stable
152,South Korea,2015,156th,2.10,3.80,3.40,2.00,3.50,3.50,3.30,2.40,2.60,2.80,1.50,5.40,0.00,4.88,0.76,6.65,7.34,0.78,Stable
153,Poland,2015,153rd,2.30,3.80,4.40,4.10,3.50,4.40,3.20,2.80,2.50,3.30,2.80,2.70,0.00,2.78,0.66,7.27,5.45,0.68,Stable
154,Japan,2015,157th,1.40,2.60,4.20,4.60,1.90,2.60,1.70,2.10,3.40,4.80,3.10,3.60,0.00,2.38,0.87,8.24,6.42,0.90,Stable
155,Uruguay,2015,155th,3.70,2.70,3.00,3.20,4.20,4.40,1.40,3.40,2.20,3.50,1.90,2.90,0.00,1.32,0.72,5.97,8.22,0.78,Stable
156,France,2015,160th,2.30,1.90,6.80,4.80,3.70,2.20,1.80,1.50,2.30,2.80,2.20,1.40,1.99,4.08,0.78,7.00,5.22,0.73,Stable
157,United States,2015,158th,2.80,4.00,5.00,2.80,4.80,1.50,2.40,2.10,3.70,3.00,2.10,1.10,0.08,1.26,0.77,6.82,8.35,0.72,Stable
158,Czech Republic,2015,154th,2.60,4.30,3.80,4.80,3.20,2.80,4.20,3.10,2.10,1.90,2.00,2.60,0.00,1.32,0.88,7.86,4.49,0.88,Stable
159,United Kingdom,2015,161st,2.50,3.50,5.60,3.90,3.70,2.10,2.00,2.10,1.80,2.60,2.40,1.20,0.41,1.22,0.49,7.54,8.48,0.48,Stable
160,Austria,2015,167th,1.10,2.70,4.30,2.20,3.40,1.50,1.40,1.60,1.70,2.40,2.00,1.70,8.12,0.98,0.94,8.24,6.07,0.94,Stable
161,Singapore,2015,159th,1.60,4.00,3.10,2.50,4.00,3.30,3.80,1.80,4.60,2.90,1.10,1.70,0.00,0.56,0.68,7.38,6.93,0.74,Stable
162,Slovenia,2015,162nd,2.10,1.60,3.90,4.20,3.90,2.80,2.60,2.00,2.00,2.80,1.40,2.30,0.29,1.94,0.70,7.29,7.11,0.70,Sustainable
163,Portugal,2015,164th,1.60,1.80,2.60,5.10,2.90,2.20,1.80,2.70,2.30,2.60,1.60,2.50,2.58,0.04,0.69,7.29,7.37,0.79,Sustainable
164,Belgium,2015,163rd,2.00,3.90,4.10,4.50,3.20,1.90,1.90,2.10,1.20,2.50,1.60,1.50,1.16,2.32,0.83,7.13,5.44,0.80,Sustainable
165,Australia,2015,170th,2.10,1.60,4.40,2.10,2.70,1.00,1.10,2.00,2.40,1.80,2.10,1.00,9.39,1.12,0.73,7.47,2.95,0.74,Sustainable
166,Netherlands,2015,166th,1.80,2.60,3.90,3.40,2.70,2.60,1.00,1.50,1.00,3.00,2.10,1.20,3.04,1.16,0.50,7.62,6.68,0.65,Sustainable
167,Denmark,2015,175th,1.50,1.40,3.60,2.50,2.10,1.90,0.50,1.40,1.30,2.50,1.40,1.40,4.01,11.14,0.41,5.15,3.59,0.47,Sustainable
168,Canada,2015,168th,2.20,2.50,3.90,1.80,3.00,2.20,0.90,2.00,1.80,2.40,2.00,1.00,5.29,1.38,0.46,6.84,3.00,0.56,Sustainable
169,Germany,2015,165th,2.10,2.00,4.60,2.90,3.30,2.10,1.20,1.60,1.50,2.50,3.00,1.30,0.10,1.18,0.36,6.02,5.69,0.45,Sustainable
170,Ireland,2015,169th,1.80,1.30,1.90,4.10,2.70,2.80,1.50,1.90,1.20,2.20,1.40,1.90,0.00,1.18,0.62,6.89,5.77,0.69,Sustainable
171,Norway,2015,176th,2.50,1.10,3.70,1.70,2.00,1.60,0.40,1.40,1.30,2.00,1.90,1.20,0.00,1.12,0.92,8.16,6.72,0.91,Sustainable
172,New Zealand,2015,172nd,1.10,1.10,4.10,3.90,2.80,2.10,0.50,1.90,1.00,1.90,1.10,1.10,0.00,1.12,0.37,7.40,6.20,0.41,Sustainable
173,Luxembourg,2015,174th,2.00,3.40,3.10,1.50,1.50,2.10,1.30,1.30,1.00,1.70,1.70,1.60,0.00,2.14,0.66,7.42,4.80,0.76,Sustainable
174,Switzerland,2015,173rd,1.40,1.00,3.60,2.00,2.70,2.10,1.00,1.40,1.80,1.90,2.10,1.30,0.00,2.18,0.30,5.54,6.72,0.42,Sustainable
175,Sweden,2015,177th,2.10,1.80,1.30,2.30,1.80,1.50,1.00,1.60,1.00,2.50,2.30,1.00,0.00,2.64,0.71,6.79,6.38,0.67,Sustainable
176,Iceland,2015,171st,1.00,1.80,1.30,3.60,1.60,2.80,0.90,1.70,1.10,1.60,1.40,4.60,0.00,0.70,0.52,7.31,3.80,0.62,Sustainable
177,Finland,2015,178th,1.40,1.10,1.60,3.80,1.00,2.30,0.50,1.20,0.90,1.50,1.50,1.00,0.00,2.06,0.32,6.41,4.46,0.44,Sustainable
